,COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Recentness data (average years),Countries in HVC = _NO,Countries in HVC = _YES
2,Afghanistan,AFG,8.1,Very High,4.0,-187.4,8.7,5.7,8.7,7.3,0.0,0.0,0.0,8.6,6.9,10.0,10.0,10.0,8.5,8.3,8.7,9.0,6.9,8.6,10.0,2.0,4.3,7.3,7.1,5.6,7.1,7.2,6.3,8.0,7.0,6.3,6.5,8.1,4.0,0.08,-28.31,0,1
3,Albania,ALB,3.1,Low,104.0,-156.3,3.4,5.7,8.3,4.6,6.8,0.0,7.4,4.4,4.5,0.1,0.1,0.0,2.1,2.4,1.9,1.5,4.2,1.7,2.9,0.2,0.5,0.0,1.0,0.4,4.2,5.7,4.227814569536424,5.7,2.3,2.0,1.4,3.4,6.0,0.12,-29.61,1,0
4,Algeria,DZA,3.6,Medium,81.0,-144.2,3.8,3.2,7.9,3.6,1.4,0.0,0.7,1.6,3.5,4.4,6.3,0.0,2.8,2.4,2.9,3.7,0.2,3.2,5.3,0.3,1.2,0.0,0.0,0.4,4.4,5.0,3.5,6.5,3.7,2.9,4.1,4.1,0.0,0.0,-27.04,1,0
5,Angola,AGO,5.2,High,32.0,-142.3,4.2,2.9,0.1,3.9,0.0,0.0,3.4,3.7,6.8,5.3,7.5,0.0,5.1,5.8,8.0,6.9,0.2,4.3,4.7,4.5,4.8,0.1,5.2,3.9,6.7,6.1,5.2,6.9,7.3,6.3,7.9,7.8,0.0,0.0,-26.69,1,0
6,Antigua and Barbuda,ATG,2.3,Low,151.0,-183.8,2.0,3.7,5.1,0.0,0.0,8.2,4.3,0.0,3.3,0.0,0.0,0.0,1.7,2.4,2.2,3.8670329670329675,2.7,0.9,0.0,0.1,0.5,0.0,5.0,1.7,3.6,5.4,5.4,5.3,1.3,0.2,0.7,3.1,18.0,0.35,-35.21,1,0
7,Argentina,ARG,2.9,Low,116.0,-155.8,2.5,4.3,5.5,7.7,0.0,0.0,3.7,5.5,3.9,0.3,0.4,0.0,2.7,1.5,0.9,4.1,0.1,3.7,6.0,0.3,0.5,0.2,0.9,0.5,3.6,4.9,3.8,6.0,2.1,1.3,3.0,1.9,6.0,0.12,-29.51,1,0
8,Armenia,ARM,2.9,Low,116.0,-149.8,2.0,3.5,7.3,5.3,0.0,0.0,0.0,3.1,5.1,0.1,0.2,0.0,2.8,1.8,1.5,1.8,2.3,3.7,5.9,0.3,0.7,0.6,0.4,0.5,4.5,6.5,7.5,5.5,1.6,1.4,1.2,2.1,3.0,0.06,-28.23,1,0
9,Australia,AUS,2.4,Low,143.0,-165.9,2.7,4.7,0.1,5.4,5.7,4.1,6.2,7.0,2.3,0.2,0.3,0.0,2.3,0.4,0.0,1.7,0.0,3.8,6.1,0.1,0.3,0.5,0.9,0.5,2.1,2.4,2.4,2.3,1.7,1.8,3.0,0.2,10.0,0.2,-31.6,1,0
10,Austria,AUT,1.9,Very Low,166.0,-173.3,1.5,2.5,3.9,7.2,0.0,0.0,0.0,1.1,2.4,0.3,0.4,0.0,3.2,0.3,0.0,1.0,0.1,5.3,8.0,0.1,0.3,0.0,0.0,0.1,1.5,2.2,2.0,2.4,0.7,1.6,0.0,0.6,13.0,0.25,-33.15,1,0
11,Azerbaijan,AZE,4.8,Medium,40.0,-157.6,5.0,4.0,7.8,6.6,0.0,0.0,0.0,3.5,5.3,5.8,8.3,0.0,5.0,2.7,3.1,3.9,0.7,6.6,9.2,0.3,1.3,0.0,0.8,0.6,4.5,6.1,4.227814569536424,6.1,2.4,1.6,2.7,3.0,7.0,0.14,-29.89,1,0
