,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
(a-z),(a-z),(0-10),(Very Low-Very High),(1-191),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),,(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-50),(0-100%),(Yes/No),()
Afghanistan,AFG,8.1,Very High,4,-187.4,8.7,5.7,8.7,7.3,0.0,0.0,0.0,8.6,6.9,10.0,10.0,10.0,8.5,8.3,8.7,9.0,6.9,8.6,10.0,2.0,4.3,7.3,7.1,5.6,7.1,7.2,6.3,8.0,7.0,6.3,6.5,8.1,4,8%,YES,-28.31
Albania,ALB,3.1,Low,104,-156.3,3.4,5.7,8.3,4.6,6.8,0.0,7.4,4.4,4.5,0.1,0.1,0.0,2.1,2.4,1.9,1.5,4.2,1.7,2.9,0.2,0.5,0.0,1.0,0.4,4.2,5.7,x,5.7,2.3,2.0,1.4,3.4,6,12%,,-29.61
Algeria,DZA,3.6,Medium,81,-144.2,3.8,3.2,7.9,3.6,1.4,0.0,0.7,1.6,3.5,4.4,6.3,0.0,2.8,2.4,2.9,3.7,0.2,3.2,5.3,0.3,1.2,0.0,0.0,0.4,4.4,5.0,3.5,6.5,3.7,2.9,4.1,4.1,0,0%,,-27.04
Angola,AGO,5.2,High,32,-142.3,4.2,2.9,0.1,3.9,0.0,0.0,3.4,3.7,6.8,5.3,7.5,0.0,5.1,5.8,8.0,6.9,0.2,4.3,4.7,4.5,4.8,0.1,5.2,3.9,6.7,6.1,5.2,6.9,7.3,6.3,7.9,7.8,0,0%,,-26.69
Antigua and Barbuda,ATG,2.3,Low,151,-183.8,2.0,3.7,5.1,0.0,0.0,8.2,4.3,0.0,3.3,0.0,0.0,0.0,1.7,2.4,2.2,x,2.7,0.9,0.0,0.1,0.5,0.0,5.0,1.7,3.6,5.4,5.4,5.3,1.3,0.2,0.7,3.1,18,35%,,-35.21
Argentina,ARG,2.9,Low,116,-155.8,2.5,4.3,5.5,7.7,0.0,0.0,3.7,5.5,3.9,0.3,0.4,0.0,2.7,1.5,0.9,4.1,0.1,3.7,6.0,0.3,0.5,0.2,0.9,0.5,3.6,4.9,3.8,6.0,2.1,1.3,3.0,1.9,6,12%,,-29.51
Armenia,ARM,2.9,Low,116,-149.8,2.0,3.5,7.3,5.3,0.0,0.0,0.0,3.1,5.1,0.1,0.2,0.0,2.8,1.8,1.5,1.8,2.3,3.7,5.9,0.3,0.7,0.6,0.4,0.5,4.5,6.5,7.5,5.5,1.6,1.4,1.2,2.1,3,6%,,-28.23
Australia,AUS,2.4,Low,143,-165.9,2.7,4.7,0.1,5.4,5.7,4.1,6.2,7.0,2.3,0.2,0.3,0.0,2.3,0.4,0.0,1.7,0.0,3.8,6.1,0.1,0.3,0.5,0.9,0.5,2.1,2.4,2.4,2.3,1.7,1.8,3.0,0.2,10,20%,,-31.60
Austria,AUT,1.9,Very Low,166,-173.3,1.5,2.5,3.9,7.2,0.0,0.0,0.0,1.1,2.4,0.3,0.4,0.0,3.2,0.3,0.0,1.0,0.1,5.3,8.0,0.1,0.3,0.0,0.0,0.1,1.5,2.2,2.0,2.4,0.7,1.6,0.0,0.6,13,25%,,-33.15
Azerbaijan,AZE,4.8,Medium,40,-157.6,5.0,4.0,7.8,6.6,0.0,0.0,0.0,3.5,5.3,5.8,8.3,0.0,5.0,2.7,3.1,3.9,0.7,6.6,9.2,0.3,1.3,0.0,0.8,0.6,4.5,6.1,x,6.1,2.4,1.6,2.7,3.0,7,14%,,-29.89
Bahamas,BHS,2.1,Very Low,157,-175.2,1.7,3.2,0.1,0.0,0.0,7.4,6.1,1.1,3.7,0.0,0.0,0.0,1.7,2.0,1.8,4.4,0.0,1.4,0.9,0.7,1.0,0.0,5.0,1.9,3.1,3.9,x,3.9,2.2,1.7,2.0,2.9,15,29%,,-33.59
Bahrain,BHR,1.4,Very Low,184,-172.7,0.9,1.5,0.1,0.0,0.0,0.0,5.3,0.0,3.3,0.3,0.4,0.0,1.0,0.9,0.5,2.4,0.0,1.0,1.2,0.2,0.5,0.0,2.4,0.8,2.8,4.2,3.8,4.6,1.2,1.0,0.0,2.5,15,29%,,-33.13
Bangladesh,BGD,5.7,High,25,-148.5,6.9,8.2,8.9,9.9,8.1,7.9,8.9,2.4,7.5,4.9,7.0,0.0,5.5,4.6,6.3,4.5,1.3,6.2,8.1,2.0,3.6,2.9,3.5,3.0,4.8,5.0,3.0,6.9,4.5,3.9,4.6,5.0,3,6%,,-28.00
Barbados,BRB,2.0,Very Low,164,-163.3,2.2,3.9,5.3,0.0,3.7,8.1,1.5,0.5,4.3,0.0,0.0,0.0,1.5,2.4,2.8,3.6,0.2,0.4,0.0,0.6,0.9,0.4,1.4,0.8,2.5,3.2,2.7,3.7,1.8,1.5,0.2,3.6,10,20%,,-31.13
Belarus,BLR,1.8,Very Low,172,-161.1,0.9,1.7,0.1,5.8,0.0,0.0,0.0,1.6,2.5,0.1,0.2,0.0,2.0,1.3,1.8,0.7,0.7,2.6,4.4,0.5,0.2,0.0,1.0,0.4,3.0,4.6,2.8,6.3,1.0,1.3,0.3,1.5,8,16%,,-30.62
Belgium,BEL,2.1,Very Low,157,-169.9,1.9,3.4,2.9,6.2,0.0,0.0,7.7,1.1,1.9,0.2,0.3,0.0,2.6,0.2,0.0,0.5,0.4,4.4,7.0,0.1,0.3,0.2,0.0,0.2,1.8,2.7,x,2.7,0.9,1.9,0.0,0.8,12,24%,,-32.46
Belize,BLZ,3.6,Medium,81,-162.6,2.1,3.7,2.0,2.2,3.0,5.0,6.0,2.7,4.2,0.1,0.1,0.0,4.4,4.5,4.5,4.9,3.9,4.3,3.0,0.7,1.0,10.0,1.8,5.4,5.0,6.0,x,6.0,3.9,3.6,3.0,5.2,9,18%,,-30.94
Benin,BEN,4.3,Medium,58,-146.8,2.5,3.1,0.1,6.6,0.0,0.0,1.9,0.0,7.6,1.8,2.6,0.0,4.8,6.3,8.7,5.6,2.2,2.8,2.3,4.2,5.1,0.3,2.4,3.2,6.6,5.6,5.5,5.6,7.4,6.6,8.3,7.4,1,2%,,-27.57
Bhutan,BTN,2.8,Low,124,-150.1,1.5,2.8,6.8,4.2,0.0,0.0,0.0,0.0,5.2,0.1,0.1,0.0,3.7,5.6,6.9,4.3,4.4,1.2,0.0,1.5,2.5,0.0,4.4,2.2,4.0,3.9,4.5,3.3,4.0,3.0,4.3,4.7,6,12%,,-28.43
Bolivia,BOL,3.6,Medium,81,-153.5,2.4,4.2,7.1,5.5,0.0,0.0,0.0,6.8,5.3,0.2,0.3,0.0,3.7,4.0,5.1,4.8,1.1,3.4,3.6,0.7,1.4,3.7,5.5,3.1,5.3,6.2,5.6,6.7,4.3,2.5,4.8,5.7,5,10%,,-29.03
Bosnia and Herzegovina,BIH,3.1,Low,104,-159.8,1.5,2.8,6.0,5.9,0.3,0.0,0.0,2.5,2.1,0.1,0.1,0.0,3.8,3.0,2.9,1.9,4.3,4.6,6.9,0.3,0.4,2.3,1.0,1.0,5.0,6.9,x,6.9,2.2,1.8,1.3,3.5,9,18%,,-30.41
Botswana,BWA,2.6,Low,132,-147.2,1.1,2.0,0.1,3.6,0.0,0.0,0.0,5.0,3.7,0.1,0.1,0.0,3.7,4.7,5.7,6.7,0.6,2.5,1.2,5.1,2.7,0.0,5.8,3.7,4.5,4.9,5.6,4.2,4.0,2.5,4.4,5.2,2,4%,,-27.70
Brazil,BRA,4.6,Medium,47,-155.9,5.7,4.0,0.5,7.7,0.0,0.0,5.0,4.5,6.0,7.0,10.0,0.0,3.9,3.4,3.7,6.1,0.1,4.3,6.6,0.7,0.9,0.3,1.1,0.8,4.3,5.2,4.3,6.1,3.2,2.1,3.4,4.1,6,12%,,-29.52
Brunei Darussalam,BRN,2.4,Low,143,-174.6,1.3,2.5,0.1,4.9,1.9,0.0,3.3,1.6,4.3,0.0,0.0,0.0,2.9,1.6,1.4,3.5,0.0,4.1,6.3,0.6,1.5,0.0,1.7,1.0,3.5,4.6,6.0,3.1,2.1,1.0,2.5,2.9,14,27%,,-33.44
Bulgaria,BGR,2.7,Low,128,-160.2,1.8,3.3,6.2,5.1,0.0,0.0,2.9,1.9,4.6,0.1,0.1,0.0,3.6,2.0,2.1,3.4,0.5,5.0,7.5,0.2,0.5,0.1,2.1,0.8,3.1,4.4,3.2,5.5,1.5,1.8,1.4,1.3,8,16%,,-30.45
